武将,主公胜率,忠臣胜率,反贼胜率,内奸胜率,总场次,加权胜率
刘备,,,,,0,
关羽,,50%,71%,,9,64%
张飞,,,,,0,
诸葛亮,,,,,0,
赵云,,,,,0,
马超,,,25%,,8,25%
黄月英,,,,,0,
孙权,19%,33%,53%,7%,78,38%
甘宁,,,50%,,6,50%
吕蒙,,,,,0,
黄盖,,30%,85%,0%,32,57%
周瑜,,,,,0,
大乔,,,0%,,1,
陆逊,,,,,0,
孙尚香,0%,0%,100%,100%,14,63%
曹操,18%,100%,50%,0%,19,52%
司马懿,,,,,0,
夏侯惇,,0%,33%,,4,22%
张辽,,,,,0,
许褚,,,,,0,
郭嘉,0%,0%,60%,0%,19,30%
甄姬,,,,,0,
华佗,,,,,0,
吕布,0%,,75%,0%,12,50%
貂蝉,,100%,,,1,
黄忠,,0%,50%,,23,33%
魏延,,0%,,,1,
夏侯渊,,,,,0,
曹仁,,0%,100%,0%,5,57%
小乔,,0%,0%,,3,
周泰,0%,50%,33%,,15,33%
张角,,,,,0,
于吉,,,,,0,
典韦,,,,,0,
荀彧,,0%,100%,,2,
庞统,100%,,0%,,2,
卧龙诸葛,100%,,0%,,2,
太史慈,,,,,0,
庞德,,,,,0,
颜良文丑,,,,,0,
袁绍,,,,,0,
徐晃,,,,,0,
曹丕,31%,80%,68%,0%,93,58%
孙坚,,,,,0,
董卓,100%,,,,1,
祝融,,,,,0,
孟获,,,,,0,
贾诩,,,33%,0%,4,27%
鲁肃,,,50%,,2,
张郃,,,,,0,
邓艾,,,,,0,
姜维,,,,,0,
刘禅,13%,10%,65%,,38,42%
孙策,50%,,,,2,
张昭张纮,,,33%,,3,
左慈,0%,0%,50%,0%,13,25%
群蔡文姬,,,,,0,
严颜,,,,,0,
王平,,0%,60%,0%,7,34%
陆绩,,0%,0%,,2,
孙亮,,,,,0,
王基,,,,,0,
蒯良蒯越,,,,0%,2,
许攸,22%,30%,84%,0%,99,52%
卢植,,,,,0,
陈到,,,0%,0%,2,
诸葛瞻,0%,,90%,7%,32,61%
周妃,,,0%,0%,2,
陆抗,,,67%,100%,4,73%
郝昭,,33%,48%,,29,43%
毌丘俭,,,,,0,
袁术,,,,,0,
张绣,60%,40%,59%,0%,69,47%
神关羽,0%,,,,1,
神吕蒙,,,25%,0%,6,20%
神周瑜,,14%,65%,0%,42,41%
神诸葛亮,0%,22%,60%,0%,28,36%
神曹操,,,,,0,
神吕布,0%,13%,40%,0%,16,23%
